event_id,source,year,month,day,region,district,municipality,cause,deaths,missing,injured,people_affected,houses_destroyed,houses_affected,evacuated,roads_damaged_km,transport_affected,latitude,longitude,district_area_sq_km,elevation_m,terrain_relief_m,households_2011,population_2011,population_density_2011,rainfall_1d_mm,rainfall_3d_mm,rainfall_7d_mm,rainfall_30d_mm,rainy_days_7d,rainfall_7d_anomaly,basin_id,sub_basin_area_sq_km,upstream_area_sq_km,distance_to_outlet_km,basin_order,nearest_river_distance_km,river_average_discharge_cms,river_upstream_area_sq_km,river_strahler_order,local_elevation_m,local_relief_m,casualty_label_known,housing_label_known,transport_label_known,severe_label_known
episode-7bf7dd58b4b437841cd6,Government of Nepal BIPAD Portal,2016,5,12,Mid-Western Region,Rolpa,Rolpa,FLOOD,1,0,0,0,0,12,0,0.0,False,28.32432,82.65523,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-7d0c552dd5298c665f8d,Government of Nepal BIPAD Portal,2016,5,12,Mid-Western Region,Salyan,Sharada,FLOOD,0,0,0,0,0,27,0,0.0,False,28.4,82.09154,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-3cf64822a21dfeaefda7,Government of Nepal BIPAD Portal,2016,5,13,Mid-Western Region,Dailekh,Mahabu,FLOOD,2,0,0,0,0,5,0,0.0,False,28.88537,81.67138,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-e032fd1a5ee35051f0fc,Government of Nepal BIPAD Portal,2016,5,14,Far Western Region,Bajhang,Surma,FLOOD,2,0,0,0,0,0,0,0.0,False,29.7171,81.15534,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-5e0041dae47690d6107d,Government of Nepal BIPAD Portal,2016,5,17,Eastern Region,Sankhuwasabha,Khandbari,FLOOD,1,0,0,0,0,0,0,0.0,False,27.3868814825,87.2156945863,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-34b56ebb55299eee8b70,Government of Nepal BIPAD Portal,2016,5,17,Central Region,Sindhuli,Kamalamai,FLOOD,0,1,0,0,0,0,0,0.0,False,27.18536,85.90753,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-dbd4c58336e1e5f29a3e,Government of Nepal BIPAD Portal,2016,5,21,Central Region,Chitwan,Bharatpur,FLOOD,2,0,0,0,0,0,0,0.0,False,27.61645,84.36001,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-561b57e0051db724f17f,Government of Nepal BIPAD Portal,2016,5,24,Central Region,Sindhuli,Kamalamai,FLOOD,1,0,2,0,0,0,0,0.0,False,27.18536,85.90753,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-bbf39b4d5587be793e9a,Government of Nepal BIPAD Portal,2016,5,25,Far Western Region,Baitadi,Surnaya,FLOOD,1,1,0,0,0,0,0,0.0,False,29.50844,80.57647,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-670ac4c0a6e0b90021f6,Government of Nepal BIPAD Portal,2016,5,25,Far Western Region,Bajura,Gaumul,FLOOD,2,0,7,0,16,63,0,0.0,False,29.5579,81.49045,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-681126d98bb7361eaf16,Government of Nepal BIPAD Portal,2016,5,25,Far Western Region,Dadeldhura,Alital,FLOOD,0,1,0,0,0,0,0,0.0,False,29.20864,80.48616,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-310f591025ff8d4f959e,Government of Nepal BIPAD Portal,2016,5,25,Eastern Region,Sunsari,Inaruwa,FLOOD,0,0,0,0,0,5,0,0.0,False,26.64064,87.12722,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-0923d7bccd6606ee601b,Government of Nepal BIPAD Portal,2016,5,27,Eastern Region,Udayapur,Rautamai,FLOOD,1,0,0,0,0,0,0,0.0,False,26.93279,86.66463,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-5ff063f063e0c9c1392d,Government of Nepal BIPAD Portal,2016,5,28,Far Western Region,Bajura,Gaumul,FLOOD,1,0,0,0,0,0,0,0.0,False,29.5579,81.49045,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-c54c83ef0c5154bce6fc,Government of Nepal BIPAD Portal,2016,5,28,Western Region,Lamjung,Marsyangdi,FLOOD,1,0,0,0,0,0,0,0.0,False,28.28362,84.43609,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
